id,original_text,normalized_text,token_ids,token_length,text_length
hassaniya_0081,وهمت على اماتنا اللي كانو مهم عندهم عن أولادهم يكراو,وهمت علي اماتنا اللي كانو مهم عندهم عن اولادهم يكراو,"[32, 31, 29, 7, 3, 22, 28, 33, 3, 5, 29, 5, 7, 30, 5, 3, 5, 28, 28, 33, 3, 27, 5, 30, 32, 3, 29, 31, 29, 3, 22, 30, 12, 31, 29, 3, 22, 30, 3, 5, 32, 28, 5, 12, 31, 29, 3, 33, 27, 14, 5, 32]",52,52
hassaniya_0082,ما ننسى أول رمضان عندي فم كان صعيب شوي,ما ننسي اول رمضان عندي فم كان صعيب شوي,"[29, 5, 3, 30, 30, 16, 33, 3, 5, 32, 28, 3, 14, 29, 19, 5, 30, 3, 22, 30, 12, 33, 3, 25, 29, 3, 27, 5, 30, 3, 18, 22, 33, 6, 3, 17, 32, 33]",38,38
hassaniya_0083,توظيف لمره,توظيف لمره,"[7, 32, 21, 33, 25, 3, 28, 29, 14, 31]",10,10
hassaniya_0084,ويلين انجي,ويلين انجي,"[32, 33, 28, 33, 30, 3, 5, 30, 9, 33]",10,10
hassaniya_0085,يتعاونو على بناء أسرتهم,يتعاونو علي بناء اسرتهم,"[33, 7, 22, 5, 32, 30, 32, 3, 22, 28, 33, 3, 6, 30, 5, 4, 3, 5, 16, 14, 7, 31, 29]",23,23
hassaniya_0086,نعتنى في البيت إما ننصب إما النظف نكنس البيت,نعتني في البيت اما ننصب اما النظف نكنس البيت,"[30, 22, 7, 30, 33, 3, 25, 33, 3, 5, 28, 6, 33, 7, 3, 5, 29, 5, 3, 30, 30, 18, 6, 3, 5, 29, 5, 3, 5, 28, 30, 21, 25, 3, 30, 27, 30, 16, 3, 5, 28, 6, 33, 7]",44,44
hassaniya_0087,هو عليه قوامة كل شي,هو عليه قوامه كل شي,"[31, 32, 3, 22, 28, 33, 31, 3, 26, 32, 5, 29, 31, 3, 27, 28, 3, 17, 33]",19,19
hassaniya_0088,كان ايغيب يمشي يعطي عيمان ويمشي يكانو ايجيب شي,كان ايغيب يمشي يعطي عيمان ويمشي يكانو ايجيب شي,"[27, 5, 30, 3, 5, 33, 23, 33, 6, 3, 33, 29, 17, 33, 3, 33, 22, 20, 33, 3, 22, 33, 29, 5, 30, 3, 32, 33, 29, 17, 33, 3, 33, 27, 5, 30, 32, 3, 5, 33, 9, 33, 6, 3, 17, 33]",46,46
hassaniya_0089,الرأي العام عادة,الراي العام عاده,"[5, 28, 14, 5, 33, 3, 5, 28, 22, 5, 29, 3, 22, 5, 12, 31]",16,16
hassaniya_0090,اللي مزالت لأرقام العالم كاملة,اللي مزالت لارقام العالم كامله,"[5, 28, 28, 33, 3, 29, 15, 5, 28, 7, 3, 28, 5, 14, 26, 5, 29, 3, 5, 28, 22, 5, 28, 29, 3, 27, 5, 29, 28, 31]",30,30
hassaniya_0091,ذا من الهشاشة,ذا من الهشاشه,"[13, 5, 3, 29, 30, 3, 5, 28, 31, 17, 5, 17, 31]",13,13
hassaniya_0092,اعي الموظف,اعي الموظف,"[5, 22, 33, 3, 5, 28, 29, 32, 21, 25]",10,10
hassaniya_0093,اللي امسيكينة الوحدة,اللي امسيكينه الوحده,"[5, 28, 28, 33, 3, 5, 29, 16, 33, 27, 33, 30, 31, 3, 5, 28, 32, 10, 12, 31]",20,20
hassaniya_0094,اينت ارجعتي لموريتان,اينت ارجعتي لموريتان,"[5, 33, 30, 7, 3, 5, 14, 9, 22, 7, 33, 3, 28, 29, 32, 14, 33, 7, 5, 30]",20,20
hassaniya_0095,وكالو عن انواكشوط واحل عن فيه اعياد لستقلال والل فيه تأميم شادين اخبارو,وكالو عن انواكشوط واحل عن فيه اعياد لستقلال والل فيه تاميم شادين اخبارو,"[32, 27, 5, 28, 32, 3, 22, 30, 3, 5, 30, 32, 5, 27, 17, 32, 20, 3, 32, 5, 10, 28, 3, 22, 30, 3, 25, 33, 31, 3, 5, 22, 33, 5, 12, 3, 28, 16, 7, 26, 28, 5, 28, 3, 32, 5, 28, 28, 3, 25, 33, 31, 3, 7, 5, 29, 33, 29, 3, 17, 5, 12, 33, 30, 3, 5, 11, 6, 5, 14, 32]",71,71
hassaniya_0096,نحن اطويفلات فمدينة,نحن اطويفلات فمدينه,"[30, 10, 30, 3, 5, 20, 32, 33, 25, 28, 5, 7, 3, 25, 29, 12, 33, 30, 31]",19,19
hassaniya_0097,بالنسبة لنا رواية عادية,بالنسبه لنا روايه عاديه,"[6, 5, 28, 30, 16, 6, 31, 3, 28, 30, 5, 3, 14, 32, 5, 33, 31, 3, 22, 5, 12, 33, 31]",23,23
hassaniya_0098,انزيد على ذاك,انزيد علي ذاك,"[5, 30, 15, 33, 12, 3, 22, 28, 33, 3, 13, 5, 27]",13,13
hassaniya_0099,امشات معاي وسكنت معاي,امشات معاي وسكنت معاي,"[5, 29, 17, 5, 7, 3, 29, 22, 5, 33, 3, 32, 16, 27, 30, 7, 3, 29, 22, 5, 33]",21,21
hassaniya_0100,أن لانبقيكم أدقولولي وينهو ذ البلد أل أعود فيه ركاج محبوس,ان لانبقيكم ادقولولي وينهو ذ البلد ال اعود فيه ركاج محبوس,"[5, 30, 3, 28, 5, 30, 6, 26, 33, 27, 29, 3, 5, 12, 26, 32, 28, 32, 28, 33, 3, 32, 33, 30, 31, 32, 3, 13, 3, 5, 28, 6, 28, 12, 3, 5, 28, 3, 5, 22, 32, 12, 3, 25, 33, 31, 3, 14, 27, 5, 9, 3, 29, 10, 6, 32, 16]",57,57
hassaniya_0101,هي اللي تولات تربية التركه,هي اللي تولات تربيه التركه,"[31, 33, 3, 5, 28, 28, 33, 3, 7, 32, 28, 5, 7, 3, 7, 14, 6, 33, 31, 3, 5, 28, 7, 14, 27, 31]",26,26
hassaniya_0102,شهرين سابكـ الباكلوريا,شهرين سابكـ الباكلوريا,"[17, 31, 14, 33, 30, 3, 16, 5, 6, 27, 24, 3, 5, 28, 6, 5, 27, 28, 32, 14, 33, 5]",22,22
hassaniya_0103,وعن أخير حت حد ايعود امره,وعن اخير حت حد ايعود امره,"[32, 22, 30, 3, 5, 11, 33, 14, 3, 10, 7, 3, 10, 12, 3, 5, 33, 22, 32, 12, 3, 5, 29, 14, 31]",25,25
hassaniya_0104,المهم عني نخطم,المهم عني نخطم,"[5, 28, 29, 31, 29, 3, 22, 30, 33, 3, 30, 11, 20, 29]",14,14
hassaniya_0105,اتعارفت أنا و والدي,اتعارفت انا و والدي,"[5, 7, 22, 5, 14, 25, 7, 3, 5, 30, 5, 3, 32, 3, 32, 5, 28, 12, 33]",19,19
hassaniya_0106,تركه اسغار,تركه اسغار,"[7, 14, 27, 31, 3, 5, 16, 23, 5, 14]",10,10
hassaniya_0107,أنا فذيك الفترة حشمانة من انعود,انا فذيك الفتره حشمانه من انعود,"[5, 30, 5, 3, 25, 13, 33, 27, 3, 5, 28, 25, 7, 14, 31, 3, 10, 17, 29, 5, 30, 31, 3, 29, 30, 3, 5, 30, 22, 32, 12]",31,31
hassaniya_0108,ماه هو طموحي,ماه هو طموحي,"[29, 5, 31, 3, 31, 32, 3, 20, 29, 32, 10, 33]",12,12
hassaniya_0109,رواتبهم منين احكت,رواتبهم منين احكت,"[14, 32, 5, 7, 6, 31, 29, 3, 29, 30, 33, 30, 3, 5, 10, 27, 7]",17,17
hassaniya_0110,ايعدل قدر من التسهيلات للناس,ايعدل قدر من التسهيلات للناس,"[5, 33, 22, 12, 28, 3, 26, 12, 14, 3, 29, 30, 3, 5, 28, 7, 16, 31, 33, 28, 5, 7, 3, 28, 28, 30, 5, 16]",28,28
hassaniya_0111,وشك عن الواحد أعدل و توسالو هو ماوأعدل شي,وشك عن الواحد اعدل و توسالو هو ماواعدل شي,"[32, 17, 27, 3, 22, 30, 3, 5, 28, 32, 5, 10, 12, 3, 5, 22, 12, 28, 3, 32, 3, 7, 32, 16, 5, 28, 32, 3, 31, 32, 3, 29, 5, 32, 5, 22, 12, 28, 3, 17, 33]",41,41
hassaniya_0112,هو الحبس أينت عاد رقاج يقال أوخظ ولايوخظ,هو الحبس اينت عاد رقاج يقال اوخظ ولايوخظ,"[31, 32, 3, 5, 28, 10, 6, 16, 3, 5, 33, 30, 7, 3, 22, 5, 12, 3, 14, 26, 5, 9, 3, 33, 26, 5, 28, 3, 5, 32, 11, 21, 3, 32, 28, 5, 33, 32, 11, 21]",40,40
hassaniya_0113,و ايجو رجال الاعمال,و ايجو رجال الاعمال,"[32, 3, 5, 33, 9, 32, 3, 14, 9, 5, 28, 3, 5, 28, 5, 22, 29, 5, 28]",19,19
hassaniya_0114,لو كان ماه سامع بذا ما يمشي يركب ايلود لي كانو يعطيني طرنيشه,لو كان ماه سامع بذا ما يمشي يركب ايلود لي كانو يعطيني طرنيشه,"[28, 32, 3, 27, 5, 30, 3, 29, 5, 31, 3, 16, 5, 29, 22, 3, 6, 13, 5, 3, 29, 5, 3, 33, 29, 17, 33, 3, 33, 14, 27, 6, 3, 5, 33, 28, 32, 12, 3, 28, 33, 3, 27, 5, 30, 32, 3, 33, 22, 20, 33, 30, 33, 3, 20, 14, 30, 33, 17, 31]",60,60
hassaniya_0115,واحد مفكتي لموصكو و واحد باريس,واحد مفكتي لموصكو و واحد باريس,"[32, 5, 10, 12, 3, 29, 25, 27, 7, 33, 3, 28, 29, 32, 18, 27, 32, 3, 32, 3, 32, 5, 10, 12, 3, 6, 5, 14, 33, 16]",30,30
hassaniya_0116,عكبت عادت ذيك شهر عكبت عادت سنتين,عكبت عادت ذيك شهر عكبت عادت سنتين,"[22, 27, 6, 7, 3, 22, 5, 12, 7, 3, 13, 33, 27, 3, 17, 31, 14, 3, 22, 27, 6, 7, 3, 22, 5, 12, 7, 3, 16, 30, 7, 33, 30]",33,33
hassaniya_0117,ما ننسى جيت لوزير المالية آنذاك,ما ننسي جيت لوزير الماليه انذاك,"[29, 5, 3, 30, 30, 16, 33, 3, 9, 33, 7, 3, 28, 32, 15, 33, 14, 3, 5, 28, 29, 5, 28, 33, 31, 3, 5, 30, 13, 5, 27]",31,31
hassaniya_0118,أيو نعرف اللا اخلاص اعطوني اخلاص اكبير,ايو نعرف اللا اخلاص اعطوني اخلاص اكبير,"[5, 33, 32, 3, 30, 22, 14, 25, 3, 5, 28, 28, 5, 3, 5, 11, 28, 5, 18, 3, 5, 22, 20, 32, 30, 33, 3, 5, 11, 28, 5, 18, 3, 5, 27, 6, 33, 14]",38,38
hassaniya_0119,لاهي يعكب,لاهي يعكب,"[28, 5, 31, 33, 3, 33, 22, 27, 6]",9,9
hassaniya_0120,شتابعت ايجوني تقارير يوميا,شتابعت ايجوني تقارير يوميا,"[17, 7, 5, 6, 22, 7, 3, 5, 33, 9, 32, 30, 33, 3, 7, 26, 5, 14, 33, 14, 3, 33, 32, 29, 33, 5]",26,26
hassaniya_0121,وكايم للمشاكل وكلة الأمن,وكايم للمشاكل وكله الامن,"[32, 27, 5, 33, 29, 3, 28, 28, 29, 17, 5, 27, 28, 3, 32, 27, 28, 31, 3, 5, 28, 5, 29, 30]",24,24
hassaniya_0122,انا انكول لهم لودولي لسفارة موريتان,انا انكول لهم لودولي لسفاره موريتان,"[5, 30, 5, 3, 5, 30, 27, 32, 28, 3, 28, 31, 29, 3, 28, 32, 12, 32, 28, 33, 3, 28, 16, 25, 5, 14, 31, 3, 29, 32, 14, 33, 7, 5, 30]",35,35
hassaniya_0123,قالهم أن ماه واخظ,قالهم ان ماه واخظ,"[26, 5, 28, 31, 29, 3, 5, 30, 3, 29, 5, 31, 3, 32, 5, 11, 21]",17,17
hassaniya_0124,ايجي ذهيالو انا يعرفني ويعرف أهلي,ايجي ذهيالو انا يعرفني ويعرف اهلي,"[5, 33, 9, 33, 3, 13, 31, 33, 5, 28, 32, 3, 5, 30, 5, 3, 33, 22, 14, 25, 30, 33, 3, 32, 33, 22, 14, 25, 3, 5, 31, 28, 33]",33,33
hassaniya_0125,وكال عنو مريض واولادو مرضى وعنو يالل ايداويهم وكذا,وكال عنو مريض واولادو مرضي وعنو يالل ايداويهم وكذا,"[32, 27, 5, 28, 3, 22, 30, 32, 3, 29, 14, 33, 19, 3, 32, 5, 32, 28, 5, 12, 32, 3, 29, 14, 19, 33, 3, 32, 22, 30, 32, 3, 33, 5, 28, 28, 3, 5, 33, 12, 5, 32, 33, 31, 29, 3, 32, 27, 13, 5]",50,50
hassaniya_0126,هاذي لرض كاع اللا هي اللي مرضتك وهي اللي كذا وهي اللي كذا اقتنع,هاذي لرض كاع اللا هي اللي مرضتك وهي اللي كذا وهي اللي كذا اقتنع,"[31, 5, 13, 33, 3, 28, 14, 19, 3, 27, 5, 22, 3, 5, 28, 28, 5, 3, 31, 33, 3, 5, 28, 28, 33, 3, 29, 14, 19, 7, 27, 3, 32, 31, 33, 3, 5, 28, 28, 33, 3, 27, 13, 5, 3, 32, 31, 33, 3, 5, 28, 28, 33, 3, 27, 13, 5, 3, 5, 26, 7, 30, 22]",63,63
hassaniya_0127,يغير الراتب يلين تسول,يغير الراتب يلين تسول,"[33, 23, 33, 14, 3, 5, 28, 14, 5, 7, 6, 3, 33, 28, 33, 30, 3, 7, 16, 32, 28]",21,21
hassaniya_0128,انا عندي أورديناص ماكديت نشريه,انا عندي اورديناص ماكديت نشريه,"[5, 30, 5, 3, 22, 30, 12, 33, 3, 5, 32, 14, 12, 33, 30, 5, 18, 3, 29, 5, 27, 12, 33, 7, 3, 30, 17, 14, 33, 31]",30,30
hassaniya_0129,اتكول لي امره انا اتريكتي البارح ما اتعشاو,اتكول لي امره انا اتريكتي البارح ما اتعشاو,"[5, 7, 27, 32, 28, 3, 28, 33, 3, 5, 29, 14, 31, 3, 5, 30, 5, 3, 5, 7, 14, 33, 27, 7, 33, 3, 5, 28, 6, 5, 14, 10, 3, 29, 5, 3, 5, 7, 22, 17, 5, 32]",42,42
hassaniya_0130,كبظي شوفي لاهي نعطيك كلت لها هاذا,كبظي شوفي لاهي نعطيك كلت لها هاذا,"[27, 6, 21, 33, 3, 17, 32, 25, 33, 3, 28, 5, 31, 33, 3, 30, 22, 20, 33, 27, 3, 27, 28, 7, 3, 28, 31, 5, 3, 31, 5, 13, 5]",33,33
hassaniya_0131,عادت كاع اتجيني عادت ادور المجلس وادور الرد,عادت كاع اتجيني عادت ادور المجلس وادور الرد,"[22, 5, 12, 7, 3, 27, 5, 22, 3, 5, 7, 9, 33, 30, 33, 3, 22, 5, 12, 7, 3, 5, 12, 32, 14, 3, 5, 28, 29, 9, 28, 16, 3, 32, 5, 12, 32, 14, 3, 5, 28, 14, 12]",43,43
hassaniya_0132,اجبرتو صدفة منين كلت لو ايساعدني كالي والله ساعدني فتعدال,اجبرتو صدفه منين كلت لو ايساعدني كالي والله ساعدني فتعدال,"[5, 9, 6, 14, 7, 32, 3, 18, 12, 25, 31, 3, 29, 30, 33, 30, 3, 27, 28, 7, 3, 28, 32, 3, 5, 33, 16, 5, 22, 12, 30, 33, 3, 27, 5, 28, 33, 3, 32, 5, 28, 28, 31, 3, 16, 5, 22, 12, 30, 33, 3, 25, 7, 22, 12, 5, 28]",57,57
hassaniya_0133,كالي اشتبغي اتعدلي لها,كالي اشتبغي اتعدلي لها,"[27, 5, 28, 33, 3, 5, 17, 7, 6, 23, 33, 3, 5, 7, 22, 12, 28, 33, 3, 28, 31, 5]",22,22
hassaniya_0134,وعاقب ذاك لين يتلفن الركاج ويقال البس الباسك المصقول ودير مسكك,وعاقب ذاك لين يتلفن الركاج ويقال البس الباسك المصقول ودير مسكك,"[32, 22, 5, 26, 6, 3, 13, 5, 27, 3, 28, 33, 30, 3, 33, 7, 28, 25, 30, 3, 5, 28, 14, 27, 5, 9, 3, 32, 33, 26, 5, 28, 3, 5, 28, 6, 16, 3, 5, 28, 6, 5, 16, 27, 3, 5, 28, 29, 18, 26, 32, 28, 3, 32, 12, 33, 14, 3, 29, 16, 27, 27]",62,62
hassaniya_0135,جا هو راسم كاعد فزري,جا هو راسم كاعد فزري,"[9, 5, 3, 31, 32, 3, 14, 5, 16, 29, 3, 27, 5, 22, 12, 3, 25, 15, 14, 33]",20,20
hassaniya_0136,مرحب وسهله,مرحب وسهله,"[29, 14, 10, 6, 3, 32, 16, 31, 28, 31]",10,10
hassaniya_0137,عاونيني كولي لاهل وزارة الداخلية أنا ماني سياسية,عاونيني كولي لاهل وزاره الداخليه انا ماني سياسيه,"[22, 5, 32, 30, 33, 30, 33, 3, 27, 32, 28, 33, 3, 28, 5, 31, 28, 3, 32, 15, 5, 14, 31, 3, 5, 28, 12, 5, 11, 28, 33, 31, 3, 5, 30, 5, 3, 29, 5, 30, 33, 3, 16, 33, 5, 16, 33, 31]",48,48
hassaniya_0138,شماسيين مع رمضان,شماسيين مع رمضان,"[17, 29, 5, 16, 33, 33, 30, 3, 29, 22, 3, 14, 29, 19, 5, 30]",16,16
hassaniya_0139,ملفي جاهز,ملفي جاهز,"[29, 28, 25, 33, 3, 9, 5, 31, 15]",9,9
hassaniya_0140,ضعيف الناس واحلة فيه اللا الطلبة وحد ماه موظف ما عندو شي,ضعيف الناس واحله فيه اللا الطلبه وحد ماه موظف ما عندو شي,"[19, 22, 33, 25, 3, 5, 28, 30, 5, 16, 3, 32, 5, 10, 28, 31, 3, 25, 33, 31, 3, 5, 28, 28, 5, 3, 5, 28, 20, 28, 6, 31, 3, 32, 10, 12, 3, 29, 5, 31, 3, 29, 32, 21, 25, 3, 29, 5, 3, 22, 30, 12, 32, 3, 17, 33]",56,56
hassaniya_0141,تميت ايلين,تميت ايلين,"[7, 29, 33, 7, 3, 5, 33, 28, 33, 30]",10,10
hassaniya_0142,والقرية اللي اسبكت فيها وهي الينكال لها الدار البيظة حالا,والقريه اللي اسبكت فيها وهي الينكال لها الدار البيظه حالا,"[32, 5, 28, 26, 14, 33, 31, 3, 5, 28, 28, 33, 3, 5, 16, 6, 27, 7, 3, 25, 33, 31, 5, 3, 32, 31, 33, 3, 5, 28, 33, 30, 27, 5, 28, 3, 28, 31, 5, 3, 5, 28, 12, 5, 14, 3, 5, 28, 6, 33, 21, 31, 3, 10, 5, 28, 5]",57,57
hassaniya_0143,جيت لاهي انعاونهم هامني نعدل مركز تغذية والل شي كالولي لا نحن طالبين منكم تعدلو لنا,جيت لاهي انعاونهم هامني نعدل مركز تغذيه والل شي كالولي لا نحن طالبين منكم تعدلو لنا,"[9, 33, 7, 3, 28, 5, 31, 33, 3, 5, 30, 22, 5, 32, 30, 31, 29, 3, 31, 5, 29, 30, 33, 3, 30, 22, 12, 28, 3, 29, 14, 27, 15, 3, 7, 23, 13, 33, 31, 3, 32, 5, 28, 28, 3, 17, 33, 3, 27, 5, 28, 32, 28, 33, 3, 28, 5, 3, 30, 10, 30, 3, 20, 5, 28, 6, 33, 30, 3, 29, 30, 27, 29, 3, 7, 22, 12, 28, 32, 3, 28, 30, 5]",83,83
hassaniya_0144,مركز صحي بينا اللي السيدات,مركز صحي بينا اللي السيدات,"[29, 14, 27, 15, 3, 18, 10, 33, 3, 6, 33, 30, 5, 3, 5, 28, 28, 33, 3, 5, 28, 16, 33, 12, 5, 7]",26,26
hassaniya_0145,وران جايينك,وران جايينك,"[32, 14, 5, 30, 3, 9, 5, 33, 33, 30, 27]",11,11
hassaniya_0146,كمت واعدتها,كمت واعدتها,"[27, 29, 7, 3, 32, 5, 22, 12, 7, 31, 5]",11,11
hassaniya_0147,جبت واحد عريتو من وزارة الصحة درتو فم عاد يعطيهم الدوا,جبت واحد عريتو من وزاره الصحه درتو فم عاد يعطيهم الدوا,"[9, 6, 7, 3, 32, 5, 10, 12, 3, 22, 14, 33, 7, 32, 3, 29, 30, 3, 32, 15, 5, 14, 31, 3, 5, 28, 18, 10, 31, 3, 12, 14, 7, 32, 3, 25, 29, 3, 22, 5, 12, 3, 33, 22, 20, 33, 31, 29, 3, 5, 28, 12, 32, 5]",54,54
hassaniya_0148,اللا تميتي اتكافحي الفقر ايلين فقرتينا,اللا تميتي اتكافحي الفقر ايلين فقرتينا,"[5, 28, 28, 5, 3, 7, 29, 33, 7, 33, 3, 5, 7, 27, 5, 25, 10, 33, 3, 5, 28, 25, 26, 14, 3, 5, 33, 28, 33, 30, 3, 25, 26, 14, 7, 33, 30, 5]",38,38
hassaniya_0149,يغير هذا كان عمل تطوعي,يغير هذا كان عمل تطوعي,"[33, 23, 33, 14, 3, 31, 13, 5, 3, 27, 5, 30, 3, 22, 29, 28, 3, 7, 20, 32, 22, 33]",22,22
hassaniya_0150,خصوصا فمجتمعنا نحن,خصوصا فمجتمعنا نحن,"[11, 18, 32, 18, 5, 3, 25, 29, 9, 7, 29, 22, 30, 5, 3, 30, 10, 30]",18,18
hassaniya_0151,بيهلي افتصلت أنا مع بوهم,بيهلي افتصلت انا مع بوهم,"[6, 33, 31, 28, 33, 3, 5, 25, 7, 18, 28, 7, 3, 5, 30, 5, 3, 29, 22, 3, 6, 32, 31, 29]",24,24
hassaniya_0152,ايلين يشكولي التركه,ايلين يشكولي التركه,"[5, 33, 28, 33, 30, 3, 33, 17, 27, 32, 28, 33, 3, 5, 28, 7, 14, 27, 31]",19,19
hassaniya_0153,ولا اندورهم لراصي,ولا اندورهم لراصي,"[32, 28, 5, 3, 5, 30, 12, 32, 14, 31, 29, 3, 28, 14, 5, 18, 33]",17,17
hassaniya_0154,ما اندورهم يعتناو بي انا,ما اندورهم يعتناو بي انا,"[29, 5, 3, 5, 30, 12, 32, 14, 31, 29, 3, 33, 22, 7, 30, 5, 32, 3, 6, 33, 3, 5, 30, 5]",24,24
hassaniya_0155,ولا عندي وقت كاع اللا انكريهم,ولا عندي وقت كاع اللا انكريهم,"[32, 28, 5, 3, 22, 30, 12, 33, 3, 32, 26, 7, 3, 27, 5, 22, 3, 5, 28, 28, 5, 3, 5, 30, 27, 14, 33, 31, 29]",29,29
hassaniya_0156,مرتفع,مرتفع,"[29, 14, 7, 25, 22]",5,5
hassaniya_0157,الطافيلات اعطاو سنتين يكراو بلا منح,الطافيلات اعطاو سنتين يكراو بلا منح,"[5, 28, 20, 5, 25, 33, 28, 5, 7, 3, 5, 22, 20, 5, 32, 3, 16, 30, 7, 33, 30, 3, 33, 27, 14, 5, 32, 3, 6, 28, 5, 3, 29, 30, 10]",35,35
hassaniya_0158,ايكد ايساعد الناس,ايكد ايساعد الناس,"[5, 33, 27, 12, 3, 5, 33, 16, 5, 22, 12, 3, 5, 28, 30, 5, 16]",17,17
hassaniya_0159,انا تميت فوزارة الخارجية,انا تميت فوزاره الخارجيه,"[5, 30, 5, 3, 7, 29, 33, 7, 3, 25, 32, 15, 5, 14, 31, 3, 5, 28, 11, 5, 14, 9, 33, 31]",24,24
hassaniya_0160,لذالك الشباب ضروري عن ايعودو منو السياسيين هوم املي لاهي,لذالك الشباب ضروري عن ايعودو منو السياسيين هوم املي لاهي,"[28, 13, 5, 28, 27, 3, 5, 28, 17, 6, 5, 6, 3, 19, 14, 32, 14, 33, 3, 22, 30, 3, 5, 33, 22, 32, 12, 32, 3, 29, 30, 32, 3, 5, 28, 16, 33, 5, 16, 33, 33, 30, 3, 31, 32, 29, 3, 5, 29, 28, 33, 3, 28, 5, 31, 33]",56,56
hassaniya_0161,يغير املي ضروري عنو ايعود فيه تكنوقراط,يغير املي ضروري عنو ايعود فيه تكنوقراط,"[33, 23, 33, 14, 3, 5, 29, 28, 33, 3, 19, 14, 32, 14, 33, 3, 22, 30, 32, 3, 5, 33, 22, 32, 12, 3, 25, 33, 31, 3, 7, 27, 30, 32, 26, 14, 5, 20]",38,38
hassaniya_0162,شنهي المهارات اللي يالل,شنهي المهارات اللي يالل,"[17, 30, 31, 33, 3, 5, 28, 29, 31, 5, 14, 5, 7, 3, 5, 28, 28, 33, 3, 33, 5, 28, 28]",23,23
hassaniya_0163,أولهم بعدكاع,اولهم بعدكاع,"[5, 32, 28, 31, 29, 3, 6, 22, 12, 27, 5, 22]",12,12
hassaniya_0164,موالي للرئيس والل موالي للدولة والحكومة,موالي للرييس والل موالي للدوله والحكومه,"[29, 32, 5, 28, 33, 3, 28, 28, 14, 33, 33, 16, 3, 32, 5, 28, 28, 3, 29, 32, 5, 28, 33, 3, 28, 28, 12, 32, 28, 31, 3, 32, 5, 28, 10, 27, 32, 29, 31]",39,39
hassaniya_0165,هاذي علاقة طبيعية بحيث عنهم هوم عندهم,هاذي علاقه طبيعيه بحيث عنهم هوم عندهم,"[31, 5, 13, 33, 3, 22, 28, 5, 26, 31, 3, 20, 6, 33, 22, 33, 31, 3, 6, 10, 33, 8, 3, 22, 30, 31, 29, 3, 31, 32, 29, 3, 22, 30, 12, 31, 29]",37,37
hassaniya_0166,وزيادة جودتها وزيادة نوعيتها,وزياده جودتها وزياده نوعيتها,"[32, 15, 33, 5, 12, 31, 3, 9, 32, 12, 7, 31, 5, 3, 32, 15, 33, 5, 12, 31, 3, 30, 32, 22, 33, 7, 31, 5]",28,28
hassaniya_0167,وودع تركتك وكبظ أكراطيبلك وذ كامل أقول وحدين ثانين ذ مناضل أص ذ يعرف لحباس,وودع تركتك وكبظ اكراطيبلك وذ كامل اقول وحدين ثانين ذ مناضل اص ذ يعرف لحباس,"[32, 32, 12, 22, 3, 7, 14, 27, 7, 27, 3, 32, 27, 6, 21, 3, 5, 27, 14, 5, 20, 33, 6, 28, 27, 3, 32, 13, 3, 27, 5, 29, 28, 3, 5, 26, 32, 28, 3, 32, 10, 12, 33, 30, 3, 8, 5, 30, 33, 30, 3, 13, 3, 29, 30, 5, 19, 28, 3, 5, 18, 3, 13, 3, 33, 22, 14, 25, 3, 28, 10, 6, 5, 16]",74,74
hassaniya_0168,شوف ما نعرف هاذي المصطلحات,شوف ما نعرف هاذي المصطلحات,"[17, 32, 25, 3, 29, 5, 3, 30, 22, 14, 25, 3, 31, 5, 13, 33, 3, 5, 28, 29, 18, 20, 28, 10, 5, 7]",26,26
hassaniya_0169,يغير خالكه فكرة شايعة,يغير خالكه فكره شايعه,"[33, 23, 33, 14, 3, 11, 5, 28, 27, 31, 3, 25, 27, 14, 31, 3, 17, 5, 33, 22, 31]",21,21
hassaniya_0170,اعلنهم لا ايضيعو الوقت,اعلنهم لا ايضيعو الوقت,"[5, 22, 28, 30, 31, 29, 3, 28, 5, 3, 5, 33, 19, 33, 22, 32, 3, 5, 28, 32, 26, 7]",22,22
hassaniya_0171,اللي ننصح بيه الشباب هو عنهم ايحاولو يدخلو مجالات,اللي ننصح بيه الشباب هو عنهم ايحاولو يدخلو مجالات,"[5, 28, 28, 33, 3, 30, 30, 18, 10, 3, 6, 33, 31, 3, 5, 28, 17, 6, 5, 6, 3, 31, 32, 3, 22, 30, 31, 29, 3, 5, 33, 10, 5, 32, 28, 32, 3, 33, 12, 11, 28, 32, 3, 29, 9, 5, 28, 5, 7]",49,49
hassaniya_0172,اياك ما ايتم دايما,اياك ما ايتم دايما,"[5, 33, 5, 27, 3, 29, 5, 3, 5, 33, 7, 29, 3, 12, 5, 33, 29, 5]",18,18
